b,g,r
0.0,0.0,0.0
0.0,0.0,0.0
0.6578420220871591,0.7781025506530738,0.9882676889580714
0.6570446957104501,0.7773253912964702,0.9877811222911728
0.6570150804627435,0.7772647367450918,0.9880738468011848
0.6572408317059869,0.7773200361638586,0.9885516815321054
0.6575968201154334,0.7775672676285167,0.989209237242198
0.6578811878898417,0.7778058097936029,0.989847436023902
0.6583123187014738,0.7782848298166143,0.9904369781389162
0.6586587053922569,0.7783766686354453,0.9906387165582202
0.6591299826439129,0.7784429938288406,0.9909022607118684
0.6592031808259784,0.7781687394099694,0.9907312887232368
0.6595154328100038,0.7781809931130947,0.9908778385784298
0.6597404592343429,0.7779353306681828,0.9908956776507599
0.6599084210927009,0.777736252760622,0.9909106345020346
0.660983054654961,0.7785723612123584,0.9920389472996283
0.6620110951525885,0.7797287117106313,0.993267609142719
0.6632129216416531,0.7811989087945194,0.9947838961816472
0.6642686843305545,0.7825937844033161,0.9961584086428703
0.6654777675359446,0.784286159799613,0.9977163088141936
0.6666101904830903,0.7859798995609064,0.9993128716786069
0.6667838059289026,0.7865832217623857,0.9997934521940831
0.6667612086336471,0.786802918635957,0.9999366593550346
0.6666664620119171,0.7869167407857951,1.0
0.6661937692315774,0.7865105352171939,0.9995718281549542
0.6646619795953758,0.7849918264303968,0.9980096472884541
0.6628994076200058,0.7831860467210421,0.9961188250034075
0.6614110559543821,0.7816901398842501,0.9945436144511902
0.6598335089271085,0.7800846660109528,0.9928416714453552
0.6583299531190543,0.778544920421365,0.9912275594361735
0.6569533685284927,0.7771503262128489,0.9897748347515225
0.6566879313184117,0.7768996156174495,0.9894785287833945
0.6565175391849039,0.7767635457908862,0.9892910991419918
0.6564258282752913,0.7766633246546075,0.9891239644299131
0.6563557851872803,0.7766330272244027,0.9890580656005792
0.6571602915347837,0.7774703891864797,0.9898456282402817
0.6582251784145997,0.7786370321131953,0.9909278596101163
0.6592471219061489,0.7797855034036132,0.9919633444242565
0.6603713330814716,0.7810740864518965,0.9931582382336822
0.6616212960730711,0.7825172094178842,0.9945285041088534
0.6631446692827001,0.7842591965363684,0.9961747298591417
0.5536845603363363,0.6548285633313897,0.8313828640425596
0.443962466686565,0.5251312739888524,0.6663305487174339
0.33421659149167143,0.3953582439132302,0.5012557382349327
0.22456330201069688,0.26562473987054813,0.3362407538310643
0.11478726032673887,0.13570148439728094,0.17107889288238437
0.004862984554797285,0.005476681236113019,0.005641949989564746
0.004946537698700595,0.005504009561741549,0.005656552484930492
0.005033818969958432,0.005549335188141932,0.005665855559255158
0.0050258599846502005,0.005584917732504022,0.005642410083759815
0.004885960177096735,0.005498938482343384,0.005502380756280103
0.004651311852862056,0.005413293691100912,0.005310836038452074
0.004325406933609239,0.005333294812762072,0.0050966180378179534
0.003964277521058112,0.005252125422952384,0.0049087468727427586
0.0036526951181036996,0.005180049715338174,0.004800829012428079
0.0033965015756212374,0.005125758979193431,0.004720254353109662
0.003193098157283952,0.0051437682181577835,0.0046799773509356435
0.0030718347228553882,0.005130457416402521,0.004607704852621505
0.002968196136503203,0.005093990403480993,0.004493075642987703
0.002992488181529512,0.005112622702459899,0.004493924960198265
0.0030454351129002564,0.005080616784088296,0.004425013916143794
0.0031223451257373224,0.005091194307967385,0.004384996522309174
0.0032573960369406026,0.0051117581308923665,0.004402922951898402
0.003416031323576043,0.005199432415067222,0.004521706842440741
0.0037361598625248733,0.005364821403182443,0.0047759645973354985
0.003955128411531598,0.00543176330850582,0.004894213543101968
0.0041812408325087235,0.005530363029631449,0.0050421620619121995
0.004451380648691575,0.005623539210401129,0.005192691694002889
0.004675428330642672,0.005714410751298604,0.005321187020892719
0.00483348253043701,0.005739911680560271,0.00534970528124288
0.004621237079445256,0.00546360976671906,0.005066451738249165
0.0034103154869699983,0.00412939155172813,0.003760874007971993
0.0019579082066758166,0.00249717413479929,0.0022099790929257165
0.00034233500048207763,0.0007073675391465179,0.000521088512223893
-0.001404266608866463,-0.0012583924933362838,-0.0013335906070933259
-0.0031918776190985295,-0.0032442076490455892,-0.0031854487122849264
-0.004758946796936195,-0.0049820875551519865,-0.004834884889207829
-0.005290258287635504,-0.005604389494946881,-0.005391845210122891
-0.005621250014382546,-0.0059518278837485845,-0.005771023655618115
-0.005828481139768485,-0.006160891806112763,-0.006021884141671638
-0.005861253092238472,-0.006177302464089207,-0.006067985655914981
-0.005975154830034039,-0.006266040858213156,-0.006228252116702227
-0.006236485111980533,-0.006548409743154847,-0.00653312402306686
-0.006463297717494539,-0.006814399615806831,-0.006825306197992711
-0.00672055679114031,-0.007070332697220555,-0.007060182011141978
-0.0069341144012172945,-0.0072974237658408846,-0.0072644011113029835
-0.007303404421904103,-0.007648136251644082,-0.007619696158038177
-0.006831958519575925,-0.0071664132699789,-0.007134480970466468
-0.005932988371836232,-0.006150221050627066,-0.006163536874003451
-0.004931484678643954,-0.005001950814551865,-0.005050551580175669
-0.0036642444677993866,-0.003620693273876058,-0.003736788417899638
-0.002742136489922284,-0.0025481488007690887,-0.0027659657878207275
-0.0017125645873336845,-0.001417848578164386,-0.0017206221101130983
-0.0013832664733846123,-0.0009960939859800998,-0.0013312094111826494
-0.0014018575571715921,-0.0010044202128680626,-0.0013307597392200805
-0.0015842231304952052,-0.0011938886324647678,-0.0014956587876559316
-0.0019727637727978043,-0.0015945472993746006,-0.0018479131953994543
-0.002073426716991495,-0.0017264467169312572,-0.001906907958860299
-0.002201198172454062,-0.001850067281385796,-0.001978873664546864
-0.0022970486033650228,-0.001969601098939189,-0.001984994736507915
-0.002212204808073158,-0.0019341317779203798,-0.001836902201391926
-0.0020534909757021907,-0.0018101290965183761,-0.0016255618739299902
-0.001843928965367669,-0.001656224461265668,-0.0013790575021178355
-0.0014270138895240139,-0.0013274927482856008,-0.0009482037323778595
-0.0008677096084930418,-0.0009266864646641204,-0.0004017647500323779
-0.0002517464705729622,-0.00044599623150271553,0.00014803890799044056
0.00034919415600645,3.245018972482911e-05,0.0006933342871751584
0.000992774031155812,0.0005333482791943419,0.0012833531719575054
0.001662972667388285,0.001095656247662622,0.0019105252315588554
0.0022652863757411223,0.0016280097721274448,0.002467720147455518
0.002788568294190996,0.0021408760902968025,0.002978936341959342
0.0032494588435724985,0.0026062007311703273,0.0034323362432674906
0.0036852899873659607,0.0030513248112973754,0.0038382710233162433
0.004111147623033341,0.0034863411259944267,0.004194490616832038
0.004387287992270298,0.0037702823468466337,0.004389874695657769
0.004605163249076321,0.003992939987207633,0.00455389562362272
0.004907010149799558,0.004322241322573358,0.004784533377999385
0.005196997402537396,0.0046483670984097895,0.004997808071834811
0.00548081687276306,0.004968103287675307,0.005235863802900786
0.005606355128018886,0.005131520578876487,0.005338532079396376
0.005776446059004317,0.005366411077897851,0.005491898643204378
0.005814575512774134,0.0054570052926597645,0.005483528453444891
0.005707920732304217,0.005386263630821777,0.005361573361762707
0.005538947254149974,0.0052433413758108775,0.005181022583379749
0.005444617047986014,0.005194023844824791,0.005106577144311324
0.005236295757069224,0.005149701310940537,0.004994739198067676
0.005026926842278892,0.005074375856450957,0.004904577600705876
0.004909099144205923,0.005124123541399995,0.004969476843184771
0.004940939159583826,0.0052544285468625555,0.0051009889326792375
0.004887076398209343,0.0053326149989521175,0.0051652522294739186
0.004637852013179913,0.005159211124461593,0.005003810330344553
0.0045980074389113884,0.0050594488506604555,0.004992428494351402
0.0045280131458994765,0.004940656243343285,0.004958151666239203
0.004530543758725254,0.0048364391283339594,0.0049646191353129535
0.004413995721321435,0.004665504091253707,0.004901603853499668
0.004383714871940935,0.004544535037522145,0.004895796964477674
0.004338707502627637,0.0045168245002003655,0.004855735228781275
0.004165008299963967,0.0044497323252325445,0.004707579781280034
0.003995301380875239,0.00431906775274417,0.004488817497732644
0.0032684623635282984,0.003707444811473765,0.0036851104407231066
0.0023518531555782006,0.002964126728405934,0.0026688796591121415
