b,g,r
98.58560943603516,116.55485534667969,147.81605529785156
97.96648406982422,116.00962829589844,147.2825927734375
98.02625274658203,116.02604675292969,147.32057189941406
97.9780044555664,115.92628479003906,147.23927307128906
98.00755310058594,115.92756652832031,147.2391815185547
98.0101318359375,115.72725677490234,147.30960083007812
97.87223815917969,115.85952758789062,147.38072204589844
97.93998718261719,115.95536041259766,147.54449462890625
98.22823333740234,116.07552337646484,147.7480926513672
98.2965087890625,116.1474838256836,147.8275909423828
98.26197814941406,116.1409912109375,147.8101806640625
98.39586639404297,116.15583801269531,147.83706665039062
98.1821517944336,115.94169616699219,147.56121826171875
98.36164093017578,116.01470184326172,147.78028869628906
98.2937240600586,115.83014678955078,147.59512329101562
98.57588195800781,116.158447265625,147.95870971679688
98.46331024169922,115.92119598388672,147.82614135742188
98.546142578125,115.97772216796875,147.85044860839844
99.14363098144531,116.68976593017578,148.5707244873047
99.28143310546875,117.0492935180664,148.87957763671875
99.36900329589844,117.14553833007812,148.95175170898438
99.52047729492188,117.40644836425781,149.18849182128906
99.54508209228516,117.43537139892578,149.22000122070312
99.559326171875,117.49311828613281,149.27890014648438
99.29896545410156,117.22956085205078,149.00070190429688
99.26121520996094,117.24585723876953,149.00770568847656
99.28423309326172,117.24737548828125,149.0084228515625
99.0975570678711,117.04301452636719,148.80540466308594
98.1745834350586,116.07657623291016,147.8223114013672
97.98234558105469,115.87747955322266,147.58717346191406
97.96733093261719,115.89116668701172,147.5913543701172
97.84977722167969,115.80943298339844,147.48497009277344
97.93899536132812,115.86975860595703,147.56427001953125
97.86592102050781,115.7952651977539,147.50564575195312
97.93709564208984,115.85226440429688,147.5572052001953
97.82989501953125,115.7557373046875,147.4194793701172
97.8852767944336,115.80149841308594,147.4418182373047
97.787109375,115.7823257446289,147.42601013183594
98.6587905883789,116.61894989013672,148.26890563964844
98.81867980957031,116.83906555175781,148.4739227294922
98.85143280029297,116.87980651855469,148.48365783691406
98.83573150634766,116.90863800048828,148.48855590820312
99.00362396240234,117.09266662597656,148.6678009033203
99.15007781982422,117.34088897705078,148.89889526367188
99.20018005371094,117.3690414428711,148.99966430664062
99.11592864990234,117.34313201904297,148.96763610839844
99.12672424316406,117.31777954101562,148.9618377685547
99.19400024414062,117.38505554199219,149.026123046875
99.25457000732422,117.4053955078125,149.0824737548828
