y,u,v
122.90679931640625,115.29747772216797,149.2598114013672
122.94893646240234,115.29585266113281,149.2668914794922
122.83454895019531,115.29825592041016,149.25039672851562
122.63958740234375,115.30156707763672,149.25247192382812
122.6746597290039,115.30789184570312,149.25030517578125
122.64313507080078,115.2905044555664,149.26502990722656
122.6562728881836,115.297607421875,149.2708282470703
122.56764221191406,115.28822326660156,149.2660369873047
123.19834899902344,115.2925033569336,149.2584991455078
123.454345703125,115.26212310791016,149.24432373046875
123.59736633300781,115.25767517089844,149.25335693359375
123.76104736328125,115.25738525390625,149.25357055664062
123.48309326171875,115.25455474853516,149.23976135253906
123.45350646972656,115.26222229003906,149.24160766601562
123.46125793457031,115.26283264160156,149.25396728515625
123.34516143798828,115.25944519042969,149.25379943847656
123.32667541503906,115.25797271728516,149.25978088378906
123.30191802978516,115.2564697265625,149.26394653320312
123.26564025878906,115.2586441040039,149.26258850097656
123.2275619506836,115.25662231445312,149.25469970703125
123.25358581542969,115.26030731201172,149.29981994628906
123.27570343017578,115.26887512207031,149.2989044189453
123.32550811767578,115.26643371582031,149.29881286621094
123.33094787597656,115.27323150634766,149.3046875
123.45747375488281,115.28754425048828,149.30624389648438
123.50030517578125,115.30763244628906,149.31671142578125
123.5727767944336,115.31272888183594,149.32000732421875
123.58937072753906,115.31635284423828,149.31675720214844
123.66334533691406,115.31920623779297,149.32810974121094
123.69640350341797,115.31562805175781,149.32525634765625
123.76057434082031,115.32077026367188,149.3087158203125
123.7552719116211,115.32117462158203,149.30880737304688
123.7566909790039,115.3231430053711,149.30966186523438
123.72431182861328,115.3292007446289,149.30323791503906
123.75834655761719,115.33870697021484,149.2924346923828
123.64756774902344,115.33749389648438,149.28399658203125
123.6668930053711,115.33975219726562,149.2847442626953
123.75338745117188,115.3377456665039,149.26454162597656
123.7659683227539,115.33768463134766,149.25840759277344
123.75713348388672,115.33890533447266,149.26011657714844
123.67813110351562,115.34307861328125,149.26087951660156
123.6523666381836,115.33329772949219,149.24142456054688
123.56676483154297,115.34236907958984,149.22998046875
123.54303741455078,115.33969116210938,149.23556518554688
123.51315307617188,115.34142303466797,149.23590087890625
123.60405731201172,115.33404541015625,149.24757385253906
123.52324676513672,115.29700469970703,149.23928833007812
123.49625396728516,115.29144287109375,149.2481689453125
123.53372955322266,115.28268432617188,149.2574920654297
123.59429931640625,115.30743408203125,149.2475128173828
123.51624298095703,115.29673767089844,149.23818969726562
123.40120697021484,115.30709838867188,149.25889587402344
123.42565155029297,115.3135757446289,149.2792510986328
123.37602233886719,115.30427551269531,149.28587341308594
123.43647766113281,115.31413269042969,149.29469299316406
123.42215728759766,115.32034301757812,149.29025268554688
123.38839721679688,115.32514190673828,149.2840118408203
123.30338287353516,115.31182098388672,149.24806213378906
123.25875854492188,115.29173278808594,149.23916625976562
123.1614761352539,115.30847930908203,149.2359619140625
122.75829315185547,115.30447387695312,149.2030792236328
122.60345458984375,115.29862976074219,149.16929626464844
122.50634002685547,115.31026458740234,149.14990234375
122.52021789550781,115.30491638183594,149.1443634033203
122.50470733642578,115.29949188232422,149.1520233154297
122.56244659423828,115.29342651367188,149.1560821533203
122.5771255493164,115.30123138427734,149.1467742919922
122.47920227050781,115.30806732177734,149.14614868164062
122.43038177490234,115.31587219238281,149.13336181640625
122.48460388183594,115.31543731689453,149.13575744628906
122.39971923828125,115.3283920288086,149.13706970214844
122.46170806884766,115.3060073852539,149.14122009277344
122.34416961669922,115.30533599853516,149.1531219482422
122.12215423583984,115.32516479492188,149.19802856445312
120.93539428710938,115.37165832519531,149.20968627929688
120.75166320800781,115.3768310546875,149.2074432373047
120.71434783935547,115.38045501708984,149.19227600097656
120.49964141845703,115.39118957519531,149.1999969482422
120.3593521118164,115.408935546875,149.23284912109375
120.36500549316406,115.41324615478516,149.2292938232422
120.4499282836914,115.41915893554688,149.2444305419922
120.55406188964844,115.42015075683594,149.2469940185547
120.57577514648438,115.41655731201172,149.2254638671875
120.65309143066406,115.41346740722656,149.2233123779297
